priority,java_file,java_class,java_method,optimization,input_ir,output_effect,preconditions,risk,cpp_target_module,tests,expected_asm_delta
P0,src/main/java/toyc/opt/ControlFlowSimplifier.java,ControlFlowSimplifier,simplify,Control flow simplification,Function(Function with Branch/CondBranch),Fold constant branches; bypass jump-only blocks; merge linear blocks; remove unreachable,ControlFlowGraph (optional),medium,ir/ir_passes.cpp or standalone,const_eval.tc,Reduced block count; fewer j instructions
P0,src/main/java/toyc/opt/ControlFlowGraph.java,ControlFlowGraph,build,CFG construction,Function,Successor/predecessor maps + reachable blocks,None,low,ir/ir_cfg.cpp,All CFG-dependent passes,No direct asm delta (analysis)
P0,src/main/java/toyc/opt/DominatorTree.java,DominatorTree,build,Dominator tree computation,Function + ControlFlowGraph,Dominator sets + children + dominance frontier,ControlFlowGraph,high,ir/ir_cfg.cpp or standalone,mem2reg_test.cpp,No direct asm delta (analysis)
P1,src/main/java/toyc/opt/Mem2Reg.java,Mem2Reg,promote,Promote alloca/load/store to SSA,Function with Alloca/Load/Store/LocalVar,Phi nodes inserted; Load/Store to locals replaced by Temp uses,ControlFlowGraph + DominatorTree,high,new: mem2reg pass,mem2reg_test.cpp; ssa_verifier_test.cpp,Eliminates all lw/sw for local variables; enables further optimizations
P1,src/main/java/toyc/opt/PhiLowerer.java,PhiLowerer,lower,Lower Phi nodes to Move instructions,Function with Phi nodes,Phi removed; Moves inserted at ends of predecessor blocks,None,low,ir/ir_passes.cpp or new pass,out_of_ssa_test.cpp,No direct reduction (enables non-SSA passes)
P1,src/main/java/toyc/opt/SmallFunctionInliner.java,SmallFunctionInliner,inline,Inline small functions,Module (multi-function),Callee body inlined at call sites; callee remains in module,None,medium,new: inlining pass,bench/p06_tail_recursion.tc,Eliminates call/ret overhead for small functions
P1,src/main/java/toyc/opt/FunctionEffects.java,FunctionEffects,analyze,Interprocedural global read/write analysis,Module,Map<String,Effect> (mayReadGlobal, mayWriteGlobal per function),None (pure analysis),low,new: function_effects.cpp,No direct asm delta (analysis for other passes)
P1,src/main/java/toyc/opt/DeadFunctionEliminator.java,DeadFunctionEliminator,eliminate,Remove unreachable functions,Module,Uncalled functions removed,None,low,ir/ir_passes.cpp or new pass,bench/p02_dead_code.tc,Fewer .text sections; smaller binary
P2,src/main/java/toyc/opt/LocalValueOptimizer.java,LocalValueOptimizer,optimize,Constant folding + algebraic simplification + copy propagation,Function,Constant expressions folded; x+0→x etc; redundant copies removed,None,medium,ir/ir_passes.cpp (runConstProp),const_eval.tc; const_short_circuit.tc; bench/p01_const.tc,Fewer instructions; more li constants
P2,src/main/java/toyc/opt/DeadCodeEliminator.java,DeadCodeEliminator,eliminate,Mark-sweep dead instruction removal,Function + FunctionEffects,Unused pure instructions removed,FunctionEffects for call-side-effect check,low,ir/ir_passes.cpp (runDCE),bench/p02_dead_code.tc,Fewer instructions
P2,src/main/java/toyc/opt/GlobalScalarReplacement.java,GlobalScalarReplacement,replace,Promote globals to local temporaries,Function + FunctionEffects,GlobalAddr/Load/Store to global replaced by Temp operations,FunctionEffects (bails out if callees touch globals),medium,new: global_scalar_replacement.cpp,bench/p11_global_const_prop.tc,Replaces la+lw/sw with mv; enables further optimization
P3,src/main/java/toyc/opt/LinearExpressionOptimizer.java,LinearExpressionOptimizer,optimize,Reassociation of ADD/SUB chains,Function,(x+n)+m→x+(n+m); (x+n)-(y+n)→x-y,None,low,ir/ir_passes.cpp or new pass,bench/p05_algebra.tc,Fewer ADD/SUB instructions
P3,src/main/java/toyc/opt/LocalCse.java,LocalCse,eliminate,Local common subexpression elimination,Function,Redundant computations replaced by Move to earlier result,None,low,ir/ir_passes.cpp (runLocalCSE),bench/p04_common_subexpr.tc,Fewer arithmetic instructions within blocks
P4,src/main/java/toyc/opt/LoopInvariantCodeMotion.java,LoopInvariantCodeMotion,hoist,Loop-invariant code hoisting,Function,Invariant computations moved to loop preheader,ControlFlowGraph (internal),medium,ir/ir_passes.cpp (runLICM),bench/p07_loop.tc,Fewer instructions inside loops
P4,src/main/java/toyc/opt/GlobalLoopStorePromotion.java,GlobalLoopStorePromotion,promote,Global load/store→register promotion in loops,Function,Load at preheader; register accumulator; store at exit,ControlFlowGraph (internal),high,new: global_loop_store_promotion.cpp,bench/p07_loop.tc with global array,Replaces lw/sw inside loop with mv; significant speedup
P5,src/main/java/toyc/opt/DeadStoreEliminator.java,DeadStoreEliminator,eliminate,Dead store elimination via liveness analysis,Function,Stores to dead locals removed,ControlFlowGraph (internal),high,new: liveness_analysis.cpp,bench/p02_dead_code.tc,Fewer sw instructions; smaller stack frame
P5,src/main/java/toyc/opt/DeadGlobalStoreEliminator.java,DeadGlobalStoreEliminator,eliminate,Dead global store removal,Module,Stores to globally-unread globals removed,None,low,new: dead_global_store.cpp,bench/p02_dead_code.tc with global,Fewer sw instructions to globals
P5,src/main/java/toyc/opt/TailRecursionEliminator.java,TailRecursionEliminator,eliminate,Tail recursion→loop conversion,Function,Self-recursive call replaced by argument copy + branch to entry,None,low,ir/ir_passes.cpp (runTailRecursionElimination),bench/p06_tail_recursion.tc,Eliminates call/ret for tail-recursive cases; stack depth O(1)
P5,src/main/java/toyc/backend/RiscVEmitter.java,RiscVEmitter,emitBinaryImmediate,Constant multiply/div/mod by power of 2→shift/magic,BinaryOp node,div/mod by const→magic division; mul by 2^k→slli; sub by const→addi negative,None,medium,src2 already has this partially,bench/p05_algebra.tc; bench/p01_const.tc,Fewer actual mul/div/rem instructions
P5,src/main/java/toyc/backend/RiscVEmitter.java,RiscVEmitter,emitCompareBranch,Compare+branch fusion,Compare + CondBranch,Compare+CondBranch pair → single branch instruction,None,medium,src2/codegen/lower/BranchFusionAnalysis.cpp,relational_logic.tc,Replaces slt+beq pattern with single blt/bge etc.
P5,src/main/java/toyc/backend/RiscVEmitter.java,RiscVEmitter,allocateRegisters,Union-find register allocation with scoring,Function,IR Values assigned to physical registers (s1-s11, leaf: +t3-t5,a2-a7),None (standalone),high,src2/codegen/frame/RegisterAllocator.cpp,recursive_fibonacci.tc; bench/p07_loop.tc,Reduces lw/sw spill; enables leaf-function extra registers
P5,src/main/java/toyc/backend/RiscVEmitter.java,RiscVEmitter,analyzeNonNegative,Non-negative value analysis for division optimization,Function,NonNegative propagation for unsigned division by constant,None,medium,RiscVEmitter part,const_eval.tc,Enables srli-based division for non-negative values
